,Month,Indicator, Albaha, Alqassim, Aseer, Eastern, Hail, Jazan, Jouf, Madinah, Makkah, Najran, Northern Borders, Riyadh, Tabuk, Grand Total,المؤشر, الشهر,
2021,January,Tourists Number (Overnight Visitors),53,301,"1,339","89,529",156,748,"1,778",91,"38,697",344,"2,309","97,024",396,"232,765",عدد السياح (زوار المبيت),يناير,2021
,,Tourists Spending (SAR),"22,552","628,522","2,578,983","210,821,632","361,931","13,769,604","8,639,098","341,496","101,626,124","336,531","3,827,037","603,942,268","945,548","947,841,324",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),27,"1,148","2,296","47,369","2,898",16,602,168,"18,670",406,"1,517","49,445",471,"125,032",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),"114,541","5,003,585","4,572,254","125,120,530","15,924,612","65,745","3,830,567","477,424","84,157,094","10,283,845","2,887,023","324,801,668","4,790,264","582,029,154",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),31,"21,503",624,"43,300","1,013","2,036",731,"2,443","37,855",158,"2,140","36,147",312,"148,294",عدد السياح (زوار المبيت),مارس,
,,Tourists Spending (SAR),"38,707","80,286,635","1,586,425","108,260,905","4,497,217","8,385,718","2,207,335","8,550,553","106,436,010","309,844","4,145,385","177,036,348","1,248,162","502,989,244",إنفاق السياح (ريال),,
,April,Tourists Number (Overnight Visitors),48,"1,133",582,"49,592",48,"1,393","1,183",52,"44,743",48,"3,952","70,887","2,367","176,031",عدد السياح (زوار المبيت),أبريل,
,,Tourists Spending (SAR),"33,072","3,562,659","6,363,314","175,061,259","100,481","7,337,582","5,067,279","149,401","160,725,101","20,973","8,015,263","404,411,986","29,959,685","800,808,055",إنفاق السياح (ريال),,
,May,Tourists Number (Overnight Visitors),20,"1,830",239,"67,673",276,95,"1,458",185,"28,138",95,"5,112","78,427","1,297","184,845",عدد السياح (زوار المبيت),مايو,
,,Tourists Spending (SAR),"126,752","5,347,486","286,815","200,523,721","1,773,864","88,730","4,064,672","788,550","105,854,313","41,196","10,225,037","407,827,100","8,000,009","744,948,248",إنفاق السياح (ريال),,
,June,Tourists Number (Overnight Visitors),139,710,45,"58,185",279,104,"1,129",176,"30,830",104,"8,934","73,169","1,629","175,431",عدد السياح (زوار المبيت),يونيو,
,,Tourists Spending (SAR),"34,640","1,682,434","70,288","220,443,563","531,791","96,991","3,618,435","1,181,006","97,096,929","45,031","18,693,238","444,101,790","6,033,566","793,629,701",إنفاق السياح (ريال),,
,July,Tourists Number (Overnight Visitors),107,"2,179",107,"71,795",275,80,"2,093","1,626","38,958",80,"23,281","89,026","1,687","231,295",عدد السياح (زوار المبيت),يوليو,
,,Tourists Spending (SAR),"26,791","4,952,216","128,598","233,273,394","1,258,070","75,015","6,370,697","12,535,513","182,478,832","34,829","36,048,152","514,262,234","4,309,846","995,754,187",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),19,"2,781",718,"101,806","1,035",2,"2,359","1,086","41,358",41,"18,189","85,280","2,690","257,364",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"95,415","7,635,570","4,020,521","281,569,575","3,493,614","4,390","6,788,589","4,948,319","125,938,757","68,886","42,147,251","482,011,262","7,294,659","966,016,809",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),26,"2,377",134,"129,410",490,3,"2,383",145,"51,374",36,"16,204","103,833","1,747","308,163",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"600,213","5,657,911","231,923","225,273,885","1,509,679","7,585","9,245,937","267,657","196,146,304","61,464","36,333,180","626,210,549","9,454,844","1,111,001,132",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),78,"5,492","1,663","171,790","29,766",41,775,"4,760","73,129",636,"15,606","125,640","22,841","452,218",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"1,753,382","14,596,642","4,042,904","368,221,004","123,578,501","88,096","3,730,537","12,003,694","371,575,165","900,210","29,111,110","861,019,176","140,084,417","1,930,704,838",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),93,"10,877","4,087","148,420","16,837",14,"1,693","5,218","133,098",263,"13,891","157,860","1,241","493,593",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"93,306","91,339,549","34,191,788","324,596,446","80,661,847","36,823","8,671,760","13,783,911","648,525,453","473,190","30,568,473","1,001,773,789","5,700,191","2,240,416,527",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),53,"5,759","8,469","208,759","37,399",143,"1,638","3,419","151,873","1,861","15,243","255,923",879,"691,418",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),"124,618","17,868,325","47,375,525","432,520,581","121,557,994","366,349","11,071,048","17,221,816","783,310,346","6,734,818","32,798,718","1,622,131,752","4,034,681","3,097,116,570",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),694,"56,089","20,305","1,187,628","90,473","4,678","17,821","19,369","688,723","4,072","126,378","1,222,660","37,559","3,476,449",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"3,063,990","238,561,534","105,449,337","2,905,686,494","355,249,602","30,322,628","73,305,953","72,249,341","2,963,870,428","19,310,817","254,799,869","7,469,529,923","221,855,873","14,713,255,789",إنفاق السياح (ريال),,
2022,January,Tourists Number (Overnight Visitors),103,"20,131",6,"114,939","4,697",94,"4,332","2,422","289,260",1,"15,531","93,455","3,967","548,936",عدد السياح (زوار المبيت),يناير,2022
,,Tourists Spending (SAR),"322,104","55,443,079","32,901","182,237,741","12,994,390","48,355","17,656,547","11,941,002","2,428,373,385","11,131","15,216,908","411,618,983","11,274,087","3,147,170,615",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),756,697,"1,170","164,357","3,909","11,635","1,147","1,634","379,913",,"32,249","82,607","8,965","689,040",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),"3,131,190","1,354,766","7,406,782","736,742,018","16,318,672","38,243,796","8,127,462","9,474,552","3,326,347,926",,"15,480,506","599,345,216","16,102,981","4,778,075,867",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),135,"3,572","2,510","325,303","3,913","17,343","1,977","4,150","641,174",10,"62,315","154,669",43,"1,217,114",عدد السياح (زوار المبيت),مارس,
,,Tourists Spending (SAR),"116,732","4,935,296","7,911,598","985,499,209","10,396,950","113,758,394","7,570,095","44,522,398","5,415,793,320","32,185","28,577,120","1,089,204,787","129,149","7,708,447,233",إنفاق السياح (ريال),,
,April,Tourists Number (Overnight Visitors),365,"2,411",14,"293,341","5,415",,"6,255","1,167","1,098,707",,"60,262","136,941","7,608","1,612,487",عدد السياح (زوار المبيت),أبريل,
,,Tourists Spending (SAR),"229,958","3,147,786","75,451","784,164,206","25,627,245",,"12,910,472","2,365,347","10,245,536,046",,"43,681,012","1,083,675,281","12,895,922","12,214,308,727",إنفاق السياح (ريال),,
,May,Tourists Number (Overnight Visitors),,"4,717",147,"350,596","6,081",362,"2,166","1,308","538,301",1,"57,909","124,311","18,472","1,104,371",عدد السياح (زوار المبيت),مايو,
,,Tourists Spending (SAR),,"10,774,583","367,371","984,491,191","20,411,703","338,060","9,195,630","4,399,947","3,860,676,622","2,340","40,992,993","877,798,578","43,286,526","5,852,735,543",إنفاق السياح (ريال),,
,June,Tourists Number (Overnight Visitors),540,"4,582","2,202","313,284","9,864","1,731","9,931","2,932","242,414",405,"68,087","201,033","10,212","867,216",عدد السياح (زوار المبيت),يونيو,
,,Tourists Spending (SAR),"134,893","12,717,696","5,891,529","685,836,809","19,190,931","7,168,459","14,831,498","16,161,006","1,739,240,533","158,390","60,413,312","1,136,804,663","19,121,353","3,717,671,072",إنفاق السياح (ريال),,
,July,Tourists Number (Overnight Visitors),"1,559","1,370","1,612","426,450","4,910",22,"5,382","3,790","986,358",477,"129,254","200,479","3,963","1,765,626",عدد السياح (زوار المبيت),يوليو,
,,Tourists Spending (SAR),"389,689","2,150,383","4,807,644","658,423,122","3,605,817","67,366","6,064,372","23,228,246","14,439,807,799","572,082","93,227,352","565,471,381","8,239,418","15,806,054,670",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),294,"7,490","6,627","361,787","3,395",,171,"3,700","681,347",758,"116,930","128,075",,"1,310,573",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"3,137,823","33,740,238","22,577,067","715,189,401","10,746,922",,"480,246","11,792,963","6,254,224,859","1,403,199","84,644,697","729,855,015",,"7,867,792,431",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),274,"5,202","2,298","344,460","5,393",67,"6,265","4,613","931,621","1,264","39,064","181,414","17,042","1,538,977",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"736,354","5,401,996","9,117,502","638,290,508","20,237,468","344,799","51,334,078","8,870,846","5,902,476,082","5,056,963","24,464,933","899,513,734","152,310,391","7,718,155,654",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),19,"9,854","3,245","409,396","6,630",552,"8,312","7,899","1,099,915",483,"6,599","191,580","8,288","1,752,774",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"280,963","46,582,558","11,937,028","1,049,433,050","19,097,688","1,356,175","27,898,318","27,647,365","6,429,279,994","1,534,015","14,651,816","1,235,503,724","20,518,257","8,885,720,950",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),123,"21,115","9,987","395,481","17,616","3,203","6,483","15,928","1,176,629",611,"9,989","177,704","5,154","1,840,021",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"407,924","97,284,558","35,282,007","976,515,211","99,401,543","11,195,559","14,751,202","93,879,247","6,017,340,115","1,630,218","12,780,747","1,165,437,961","13,019,982","8,538,926,274",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),,"120,754","44,267","498,933","63,999",458,2,"71,320","1,346,654","3,128",294,"238,363","2,553","2,390,726",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),,"362,940,662","255,203,903","763,182,477","120,394,585","2,353,244","3,827","407,624,342","8,386,311,684","10,812,861","713,142","1,741,035,882","8,949,569","12,059,526,178",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),"4,167","201,893","74,085","3,998,327","135,822","35,468","52,424","120,863","9,412,293","7,138","598,483","1,910,631","86,267","16,637,861",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"8,887,630","636,473,602","360,610,785","9,160,004,942","378,423,912","174,874,207","170,823,748","661,907,261","74,445,408,365","21,213,385","434,844,538","11,535,265,204","305,847,636","98,294,585,215",إنفاق السياح (ريال),,
2023,January,Tourists Number (Overnight Visitors),340,"9,200","12,528","632,931","28,913","2,523","16,537","21,751","1,438,682","3,154","31,059","277,064","7,187","2,481,869",عدد السياح (زوار المبيت),يناير,2023
,,Tourists Spending (SAR),"1,478,175","21,402,044","71,216,272","1,338,169,462","80,905,151","6,559,335","52,509,481","72,132,624","7,554,454,967","8,972,560","57,086,319","1,288,712,271","18,576,638","10,572,175,299",إنفاق السياح (ريال),,
,February,Tourists Number (Overnight Visitors),,"9,589","12,560","492,589","27,920","4,242","10,028","29,462","1,535,632",104,"23,316","298,581","11,754","2,455,777",عدد السياح (زوار المبيت),فبراير,
,,Tourists Spending (SAR),,"29,720,194","57,789,652","1,128,397,354","341,555,952","17,648,777","40,592,840","108,739,070","8,644,388,198","2,276,632","56,343,576","1,245,332,262","32,172,835","11,704,957,342",إنفاق السياح (ريال),,
,March,Tourists Number (Overnight Visitors),,"17,300","13,241","462,527","51,614","1,410","17,522","25,194","1,946,028",,"23,987","293,704","17,020","2,869,547",عدد السياح (زوار المبيت),مارس,
,,Tourists Spending (SAR),,"57,194,374","126,205,358","906,349,862","446,833,800","4,713,392","75,516,980","111,185,066","13,905,221,556",,"44,077,157","1,583,386,646","36,905,635","17,297,589,825",إنفاق السياح (ريال),,
,April,Tourists Number (Overnight Visitors),,"1,990","14,417","513,121","29,591",100,"12,962","63,456","1,558,043",207,"20,602","206,650","3,002","2,424,141",عدد السياح (زوار المبيت),أبريل,
,,Tourists Spending (SAR),,"5,241,659","113,260,986","1,004,530,495","61,958,759","622,983","22,577,259","467,886,250","10,358,924,343","740,734","28,825,523","897,098,655","2,294,928","12,963,962,574",إنفاق السياح (ريال),,
,May,Tourists Number (Overnight Visitors),"1,188","7,621","8,306","354,705","49,748","1,205","15,763","14,661","742,731",326,"23,093","283,954","11,099","1,514,400",عدد السياح (زوار المبيت),مايو,
,,Tourists Spending (SAR),"2,827,554","19,273,936","97,602,225","1,069,073,151","597,894,851","5,150,635","54,250,898","64,319,451","5,000,148,092","935,508","43,727,653","2,178,635,294","30,088,840","9,163,928,087",إنفاق السياح (ريال),,
,June,Tourists Number (Overnight Visitors),,"4,730","8,631","482,663","20,201","1,192","13,897","15,846","2,041,278",918,"39,531","206,559","12,049","2,847,495",عدد السياح (زوار المبيت),يونيو,
,,Tourists Spending (SAR),,"15,666,851","38,359,271","878,604,316","103,741,514","2,669,380","42,146,100","71,152,865","28,149,525,586","477,061","77,673,212","883,163,699","26,986,649","30,290,166,504",إنفاق السياح (ريال),,
,July,Tourists Number (Overnight Visitors),"1,383","19,457","19,077","481,884","24,251",883,"14,858","43,768","471,940","4,037","27,852","217,687","22,693","1,349,770",عدد السياح (زوار المبيت),يوليو,
,,Tourists Spending (SAR),"3,972,836","33,448,458","53,598,216","904,969,451","95,752,115","2,087,172","19,718,337","177,304,171","2,875,529,535","10,190,991","30,925,270","694,316,744","72,651,461","4,974,464,757",إنفاق السياح (ريال),,
,August,Tourists Number (Overnight Visitors),"8,195","11,529","28,407","551,505","26,448",822,"19,362","17,603","1,152,097","1,782","38,294","243,809","9,380","2,109,233",عدد السياح (زوار المبيت),أغسطس,
,,Tourists Spending (SAR),"21,871,808","24,669,993","79,966,413","866,500,878","100,630,816","1,950,902","31,576,133","46,789,960","4,929,508,497","5,525,818","52,286,132","768,930,010","22,410,131","6,952,617,493",إنفاق السياح (ريال),,
,September,Tourists Number (Overnight Visitors),"3,031","14,391","17,876","418,936","29,867",,"15,241","26,114","1,247,842","1,391","33,270","223,916","8,043","2,039,918",عدد السياح (زوار المبيت),سبتمبر,
,,Tourists Spending (SAR),"7,814,898","31,862,196","53,418,467","656,262,415","134,883,214",,"16,670,125","81,803,834","5,943,337,059","3,069,800","46,226,108","740,446,923","19,595,683","7,735,390,722",إنفاق السياح (ريال),,
,October,Tourists Number (Overnight Visitors),"1,703","4,564","15,924","381,644","25,985",22,"15,652","20,445","1,483,480",113,"27,739","203,939","9,829","2,191,039",عدد السياح (زوار المبيت),أكتوبر,
,,Tourists Spending (SAR),"4,564,939","9,064,019","41,483,524","693,282,396","137,343,800","55,221","21,280,273","60,343,104","7,512,414,816","640,396","30,732,898","629,187,683","19,084,528","9,159,477,599",إنفاق السياح (ريال),,
,November,Tourists Number (Overnight Visitors),415,"9,421","14,522","369,116","19,992","1,027","18,495","12,421","1,534,464",955,"36,908","211,546","8,276","2,237,558",عدد السياح (زوار المبيت),نوفمبر,
,,Tourists Spending (SAR),"773,543","13,978,074","43,269,678","864,196,339","93,082,466","1,984,862","34,714,457","22,243,284","7,911,160,991","3,119,208","41,978,482","742,074,158","17,471,855","9,790,047,399",إنفاق السياح (ريال),,
,December,Tourists Number (Overnight Visitors),2,"16,461","21,416","525,743","23,290","1,424","26,391","30,347","1,862,357","4,403","30,590","342,648","17,717","2,902,789",عدد السياح (زوار المبيت),ديسمبر,
,,Tourists Spending (SAR),"3,457","26,791,195","46,901,526","727,010,493","78,485,970","2,549,193","25,977,610","53,580,052","8,702,624,920","6,261,876","25,657,469","890,275,872","43,081,584","10,629,201,218",إنفاق السياح (ريال),,
,Total,Tourists Number (Overnight Visitors),"16,257","126,253","186,905","5,667,364","357,820","14,850","196,708","321,068","17,014,574","17,390","356,241","3,010,057","138,049","27,423,536",عدد السياح (زوار المبيت),الإجمالي,
,,Tourists Spending (SAR),"43,307,211","288,312,993","823,071,590","11,037,346,612","2,273,068,409","45,991,851","437,530,492","1,337,479,732","111,487,238,562","42,210,583","535,539,801","12,541,560,216","341,320,768","141,233,978,818",إنفاق السياح (ريال),,