timestamp,0-which_city_or_destination_in_saudi_arabia_did_you_visit_the_most?,what_factors_influenced_your_choice_of_destination?,in_which_season_did_you_visit_saudi_arabia?,what_was_the_main_reason_for_visiting_saudi_arabia_in_that_season?,are_you_a_domestic_(saudi_resident)_or_international_tourist?,how_many_days_did_you_spend_in_saudi_arabia?,what_was_your_estimated_total_expenditure_during_your_trip?,what_did_you_spend_the_most_money_on?,how_would_you_rate_your_overall_experience_in_saudi_arabia?,what_aspects_of_your_trip_did_you_enjoy_the_most?,what_aspects_of_your_trip_did_you_find_challenging_or_dissatisfying?,have_you_attended_riyadh_season_or_visited_neom?,how_important_were_events_like_riyadh_season_in_influencing_your_decision_to_visit_saudi_arabia?
2025-02-06 16:14:53.594,شقراء,Cultural experiences,Winter,Holidays,Saudi resident,1 to 3 Days,"1,000 to 5,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Transportation,Yes,5
2025-02-06 16:19:59.195,Dammam,Cultural experiences,Summer,Business,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Food,3,Safety,Weather,Yes,5
2025-02-06 16:21:46.676,Riyadh,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Winter,Holidays,International Tourist,8 to 14 Days,"More than 15,000 Saudi Riyals",Activities/Attractions,5,"Hospitality, Attractions, Safety, Cleanliness","Language barriers, Transportation",Yes,3
2025-02-06 16:26:14.395,Riyadh,Cultural experiences,Winter,Business,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Activities/Attractions,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Language barriers, Costs, Weather, Transportation",Yes,5
2025-02-06 16:27:50.655,Riyadh,"Adventure activities, Entertainment events ex. Riyadh season",Winter,Specific event,International Tourist,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Activities/Attractions,5,"Hospitality, Safety, Food, Cleanliness",Costs,Yes,5
2025-02-06 16:29:04.953,Riyadh,"Cultural experiences, Religious sites, Entertainment events ex. Riyadh season",Winter,Specific event,Saudi resident,More than 2 weeks,"1,000 to 5,000 Saudi Riyals",Activities/Attractions,5,"Attractions, Safety, Food, Cleanliness",Weather,Yes,5
2025-02-06 16:29:12.680,Jeddah,Religious sites,Resident,Resident,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Resident,5,"Hospitality, Safety","Costs, Weather, Transportation",Yes,5
2025-02-06 16:34:52.582,Riyadh,Cultural experiences,Winter,Specific event,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Activities/Attractions,5,Safety,"Language barriers, Weather",Yes,5
2025-02-06 16:35:11.593,Al-Ula,"Cultural experiences, Religious sites, Adventure activities",Winter,Holidays,International Tourist,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Shopping,5,"Food, Cleanliness",Language barriers,Yes,5
2025-02-06 16:41:20.095,Riyadh,Adventure activities,Winter,Holidays,Saudi resident,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Accommodation,5,Attractions,Transportation,No,5
2025-02-06 16:41:31.518,Riyadh,Entertainment events ex. Riyadh season,Winter,Specific event,International Tourist,More than 2 weeks,"More than 15,000 Saudi Riyals",Activities/Attractions,4,"Hospitality, Safety, Food",Costs,Yes,5
2025-02-06 16:44:06.853,Riyadh,"Cultural experiences, Adventure activities",Winter,Holidays,International Tourist,4 to 7 Days,"Less than 1,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Costs,Yes,5
2025-02-06 16:46:34.468,Riyadh,Cultural experiences,Winter,Holidays,International Tourist,8 to 14 Days,"10,000 to 15,000 Saudi Riyals",Shopping,5,"Hospitality, Safety, Food, Cleanliness",Transportation,Yes,5
2025-02-06 16:50:13.968,Shaqra,"Cultural experiences, Religious sites, Adventure activities, Entertainment events ex. Riyadh season",Winter,Holidays,Saudi resident,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Food,5,Attractions,"Weather, Transportation",Yes,5
2025-02-06 16:53:00.713,Al-Ula,"Cultural experiences, Adventure activities",Winter,Specific event,International Tourist,1 to 3 Days,"More than 15,000 Saudi Riyals",Accommodation,5,"Hospitality, Safety, Food, Cleanliness",Weather,No,5
2025-02-06 16:58:25.317,Zulfi,"Cultural experiences, Religious sites, Adventure activities, Entertainment events ex. Riyadh season",Winter,It’s a great country,Saudi resident,More than 2 weeks,"Less than 1,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Nothing,Yes,5
2025-02-06 16:59:12.519,Riyadh,Entertainment events ex. Riyadh season,Winter,Living in the city,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Food,3,"Safety, Food","Costs, Weather, Transportation",Yes,3
2025-02-06 17:02:05.080,Riyadh,Cultural experiences,Winter,Holidays,International Tourist,4 to 7 Days,"1,000 to 5,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Costs,Yes,5
2025-02-06 17:09:49.190,Riyadh,"Cultural experiences, Entertainment events ex. Riyadh season",Winter,Holidays,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Activities/Attractions,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Costs,Yes,5
2025-02-06 17:11:28.949,Jeddah,Entertainment events ex. Riyadh season,Summer,Holidays,International Tourist,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Accommodation,4,"Hospitality, Safety, Food","Weather, Transportation",Yes,4
2025-02-06 17:21:14.775,Riyadh,"Cultural experiences, Entertainment events ex. Riyadh season",Winter,Business,International Tourist,4 to 7 Days,"1,000 to 5,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Language barriers, Costs",Yes,4
2025-02-06 17:28:40.561,Riyadh,"Adventure activities, Entertainment events ex. Riyadh season",Summer,Specific event,Saudi resident,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Language barriers, Costs, Weather, Transportation",Yes,5
2025-02-06 17:35:48.180,Al-Ula,"Cultural experiences, Adventure activities",Summer,Holidays,International Tourist,4 to 7 Days,"More than 15,000 Saudi Riyals",Accommodation,4,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Transportation",No,1
2025-02-06 17:46:21.154,Riyadh,Entertainment events ex. Riyadh season,Winter,Specific event,Saudi resident,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Activities/Attractions,5,Attractions,Weather,Yes,5
2025-02-06 17:51:11.987,Riyadh,"Cultural experiences, Entertainment events ex. Riyadh season",Winter,Holidays,International Tourist,4 to 7 Days,"5,000 to 10,000 Saudi Riyals",Shopping,5,"Hospitality, Safety, Cleanliness","Costs, Weather",Yes,3
2025-02-06 17:51:21.434,Jeddah,Entertainment events ex. Riyadh season,Summer,Specific event,International Tourist,8 to 14 Days,"More than 15,000 Saudi Riyals",Activities/Attractions,3,Food,Weather,No,5
2025-02-06 17:54:02.283,Riyadh,"Cultural experiences, Entertainment events ex. Riyadh season",Winter,Specific event,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Activities/Attractions,5,"Safety, Food, Cleanliness",Weather,Yes,5
2025-02-06 17:56:20.231,Al-Ula,"Cultural experiences, Adventure activities",Spring,Holidays,International Tourist,4 to 7 Days,"More than 15,000 Saudi Riyals",Accommodation,5,Hospitality,Transportation,Yes,3
2025-02-06 18:04:12.130,Riyadh,Adventure activities,Winter,Specific event,International Tourist,8 to 14 Days,"10,000 to 15,000 Saudi Riyals",Activities/Attractions,5,"Attractions, Safety, Food, Cleanliness",Weather,Yes,4
2025-02-06 18:05:48.876,Shaqra,"Cultural experiences, Adventure activities",Winter,Specific event,Saudi resident,More than 2 weeks,"1,000 to 5,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Transportation",Yes,5
2025-02-06 18:12:36.778,Neom,Entertainment events ex. Riyadh season,Summer,Business,International Tourist,More than 2 weeks,"More than 15,000 Saudi Riyals",Accommodation,2,"Safety, Cleanliness","Costs, Transportation",Yes,1
2025-02-06 18:16:58.075,Ha'il,Cultural experiences,Autumn,Holidays,International Tourist,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Language barriers,Yes,2
2025-02-06 18:18:35.294,AlMajma'ah,Cultural experiences,Spring,Holidays,International Tourist,1 to 3 Days,"Less than 1,000 Saudi Riyals",Accommodation,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Language barriers, Transportation",Yes,4
2025-02-06 18:20:06.612,Neom,Adventure activities,Autumn,Business,International Tourist,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Accommodation,3,"Safety, Cleanliness","Language barriers, Costs, Transportation",Yes,2
2025-02-06 18:21:27.032,Neom,Adventure activities,Autumn,Holidays,International Tourist,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,3,"Safety, Cleanliness",Costs,Yes,1
2025-02-06 18:21:32.043,Eastern Province,"Cultural experiences, Entertainment events ex. Riyadh season",Winter,Holidays,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Activities/Attractions,5,"Attractions, Safety, Cleanliness",None ,Yes,5
2025-02-06 18:22:29.084,Riyadh,"Cultural experiences, Entertainment events ex. Riyadh season",Winter,Business,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Food,5,Hospitality,Weather,Yes,5
2025-02-06 18:23:05.249,Jeddah,"Adventure activities, Entertainment events ex. Riyadh season",Summer,Specific event,International Tourist,8 to 14 Days,"More than 15,000 Saudi Riyals",Activities/Attractions,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Weather",No,5
2025-02-06 18:24:02.604,Neom,Adventure activities,Autumn,Specific event,International Tourist,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Accommodation,2,"Safety, Food",Costs,Yes,3
2025-02-06 18:24:11.384,Riyadh,Entertainment events ex. Riyadh season,Winter,Holidays,Saudi resident,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Accommodation,5,Food,Transportation,Yes,3
2025-02-06 18:30:38.062,Makkah,Religious sites,Winter,Specific event,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,5,Attractions,Costs,Yes,5
2025-02-06 18:33:42.631,Eastern Province,"Adventure activities, Entertainment events ex. Riyadh season",Spring,Holidays,International Tourist,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Accommodation,4,"Hospitality, Safety, Food, Cleanliness","Costs, Weather",No,3
2025-02-06 18:57:54.979,Jeddah,"Cultural experiences, Religious sites",Spring,Holidays,International Tourist,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,4,"Safety, Food, Cleanliness","Costs, Weather",No,1
2025-02-06 18:58:50.376,Al-Ula,"Cultural experiences, Adventure activities",Summer,Holidays,International Tourist,4 to 7 Days,"More than 15,000 Saudi Riyals",Accommodation,4,"Attractions, Safety, Food","Costs, Weather",No,1
2025-02-06 19:01:52.167,Riyadh,"Adventure activities, Entertainment events ex. Riyadh season",Winter,Specific event,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,5,"Attractions, Food",Transportation,Yes,5
2025-02-06 19:02:41.611,Ha'il,Cultural experiences,Winter,Holidays,Saudi resident,4 to 7 Days,"10,000 to 15,000 Saudi Riyals",Accommodation,5,"Hospitality, Food",Transportation,Yes,1
2025-02-06 19:03:59.138,Al-Ula,"Cultural experiences, Adventure activities",Spring,Holidays,Saudi resident,1 to 3 Days,"More than 15,000 Saudi Riyals",Accommodation,3,"Hospitality, Attractions",Transportation,No,1
2025-02-06 19:04:56.690,Qassim,Cultural experiences,Winter,Holidays,Saudi resident,1 to 3 Days,"1,000 to 5,000 Saudi Riyals",Accommodation,1,"Hospitality, Food",Transportation,Yes,2
2025-02-06 19:05:23.653,Riyadh,"Cultural experiences, Adventure activities",Autumn,Specific event,Saudi resident,4 to 7 Days,"5,000 to 10,000 Saudi Riyals",Food,4,Attractions,Weather,No,1
2025-02-06 19:07:21.696,Eastern Province,Adventure activities,Autumn,Holidays,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,5,"Hospitality, Cleanliness","Weather, Transportation",Yes,1
2025-02-06 19:41:12.268,Riyadh,Religious sites,Summer,Holidays,International Tourist,1 to 3 Days,"More than 15,000 Saudi Riyals",Activities/Attractions,3,Cleanliness,Costs,No,2
2025-02-06 19:59:10.362,Riyadh,"Cultural experiences, Religious sites, Adventure activities, Entertainment events ex. Riyadh season",Summer,Business,Saudi resident,More than 2 weeks,"1,000 to 5,000 Saudi Riyals",Food,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Language barriers,Yes,4
2025-02-06 21:33:24.201,Riyadh,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Winter,Specific event,Saudi resident,More than 2 weeks,"5,000 to 10,000 Saudi Riyals",Shopping,5,"Attractions, Safety, Food","Language barriers, Costs, Weather, Transportation",Yes,5
2025-02-07 01:32:53.966,Jeddah,Religious sites,Summer,Specific event,Saudi resident,1 to 3 Days,"5,000 to 10,000 Saudi Riyals",Accommodation,4,Hospitality,Costs,Yes,5
2025-02-07 05:49:51.720,Riyadh,Religious sites,Winter,Holidays,Saudi resident,1 to 3 Days,"Less than 1,000 Saudi Riyals",Accommodation,3,Hospitality,Costs,Yes,3
2025-02-07 11:41:08.410,Al-Taif (almost all my trips were there i am surprised you didn't mention it) the next question is non of the above. Its due to colder climate (weather) ,Adventure activities,Winter,I live here nigaa + too broke to leave (the queston after after the next is 365.25×21 days you do the math),Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Accommodation,1,Monkeys on the spiralling road. If you know you know ,"Costs, I think neom is empty (reason for not visiting)",No,1
2025-02-08 04:19:04.515,Jeddah,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Spring,Holidays,Saudi resident,More than 2 weeks,"10,000 to 15,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness",Weather,Yes,5
2025-02-08 04:22:32.921,Riyadh,"Cultural experiences, Adventure activities, Entertainment events ex. Riyadh season",Summer,Specific event,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Shopping,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Weather, Transportation",Yes,5
2025-03-09 18:49:12.267,Jeddah,"Cultural experiences, Religious sites",Winter,Holidays,Saudi resident,More than 2 weeks,"More than 15,000 Saudi Riyals",Accommodation,5,"Hospitality, Attractions, Safety, Food, Cleanliness","Costs, Weather",No,2
